#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.463063 0.973339 0.000000
0.463964 0.973567 0.000000
0.464865 0.973788 0.000000
0.465766 0.974004 0.000000
0.466667 0.974214 0.000000
0.467568 0.974419 0.000000
0.468468 0.974620 0.000000
0.469369 0.974816 0.000000
0.470270 0.975008 0.000000
0.471171 0.975196 0.000000
0.472072 0.975380 0.000000
0.472973 0.975584 0.000000
0.473874 0.975797 0.000000
0.474775 0.976005 0.000000
0.475676 0.976209 0.000000
0.476577 0.976410 0.000000
0.477477 0.976606 0.000000
0.478378 0.976799 0.000000
0.479279 0.976989 0.000000
0.480180 0.977176 0.000000
0.481081 0.977359 0.000000
0.481982 0.977554 0.000000
0.482883 0.977758 0.000000
0.483784 0.977959 0.000000
0.484685 0.978156 0.000000
0.485586 0.978350 0.000000
0.486486 0.978541 0.000000
0.487387 0.978729 0.000000
0.488288 0.978914 0.000000
0.489189 0.979097 0.000000
0.490090 0.979277 0.000000
0.490991 0.979455 0.000000
0.491892 0.979629 0.000000
0.492793 0.979801 0.000000
0.493694 0.979971 0.000000
0.494595 0.980138 0.000000
0.495495 0.980304 0.000000
0.496396 0.980469 0.000000
0.497297 0.980631 0.000000
0.498198 0.980792 0.000000
0.499099 0.980952 0.000000
0.500000 0.981109 0.000000
0.500901 0.981264 0.000000
0.501802 0.981418 0.000000
0.502703 0.981570 0.000000
0.503604 0.981721 0.000000
0.504505 0.981872 0.000000
0.505405 0.982022 0.000000
0.506306 0.982171 0.000000
0.507207 0.982319 0.000000
0.508108 0.982467 0.000000
0.509009 0.982616 0.000000
0.509910 0.982765 0.000000
0.510811 0.982915 0.000000
0.511712 0.983064 0.000000
0.512613 0.983213 0.000000
0.513514 0.983362 0.000000
0.514414 0.983511 0.000000
0.515315 0.983659 0.000000
0.516216 0.983808 0.000000
0.517117 0.983957 0.000000
0.518018 0.984109 0.000000
0.518919 0.984270 0.000000
0.519820 0.984430 0.000000
0.520721 0.984590 0.000000
0.521622 0.984749 0.000000
0.522523 0.984907 0.000000
0.523423 0.985064 0.000000
0.524324 0.985219 0.000000
0.525225 0.985372 0.000000
0.526126 0.985521 0.000000
0.527027 0.985666 0.000000
0.527928 0.985804 0.000000
0.528829 0.985934 0.000000
0.529730 0.986052 0.000000
0.530631 0.986154 0.000000
0.531532 0.986235 0.000000
0.532432 0.986285 0.000000
0.533333 0.986295 0.000000
0.534234 0.986246 0.000000
0.535135 0.986114 0.000000
0.536036 0.985865 0.000000
0.536937 0.985455 0.000000
0.537838 0.984782 0.000000
0.538739 0.983702 0.000000
0.539640 0.981969 0.000000
0.540541 0.979143 0.000000
0.541441 0.974376 0.000000
0.542342 0.965908 0.000000
0.543243 0.949652 0.000000
0.544144 0.914710 0.000000
0.545045 0.826358 0.000001
0.545946 0.559255 0.000001
0.546847 0.076649 0.000002
0.547748 0.414360 0.000001
0.548649 0.720376 0.000001
0.549550 0.838595 0.000000
0.550450 0.891261 0.000000
0.551351 0.918891 0.000000
0.552252 0.935228 0.000000
0.553153 0.945758 0.000000
0.554054 0.952996 0.000000
0.554955 0.958223 0.000000
0.555856 0.962147 0.000000
0.556757 0.965187 0.000000
0.557658 0.967605 0.000000
0.558559 0.969568 0.000000
0.559459 0.971193 0.000000
0.560360 0.972560 0.000000
0.561261 0.973724 0.000000
0.562162 0.974729 0.000000
0.563063 0.975605 0.000000
0.563964 0.976386 0.000000
0.564865 0.977080 0.000000
0.565766 0.977699 0.000000
0.566667 0.978255 0.000000
0.567568 0.978758 0.000000
0.568468 0.979216 0.000000
0.569369 0.979634 0.000000
0.570270 0.980018 0.000000
0.571171 0.980373 0.000000
0.572072 0.980701 0.000000
0.572973 0.981007 0.000000
0.573874 0.981292 0.000000
0.574775 0.981559 0.000000
0.575676 0.981810 0.000000
0.576577 0.982046 0.000000
0.577477 0.982269 0.000000
0.578378 0.982480 0.000000
0.579279 0.982680 0.000000
0.580180 0.982870 0.000000
0.581081 0.983051 0.000000
0.581982 0.983225 0.000000
0.582883 0.983392 0.000000
0.583784 0.983552 0.000000
0.584685 0.983705 0.000000
0.585586 0.983852 0.000000
0.586486 0.983993 0.000000
0.587387 0.984129 0.000000
0.588288 0.984260 0.000000
0.589189 0.984387 0.000000
0.590090 0.984509 0.000000
0.590991 0.984643 0.000000
0.591892 0.984785 0.000000
0.592793 0.984923 0.000000
0.593694 0.985056 0.000000
0.594595 0.985186 0.000000
0.595495 0.985312 0.000000
0.596396 0.985434 0.000000
0.597297 0.985553 0.000000
0.598198 0.985669 0.000000
0.599099 0.985782 0.000000
0.600000 0.985892 0.000000
0.600901 0.986000 0.000000
0.601802 0.986105 0.000000
0.602703 0.986208 0.000000
0.603604 0.986308 0.000000
0.604505 0.986406 0.000000
0.605405 0.986502 0.000000
0.606306 0.986596 0.000000
0.607207 0.986688 0.000000
0.608108 0.986778 0.000000
0.609009 0.986866 0.000000
0.609910 0.986952 0.000000
0.610811 0.987036 0.000000
0.611712 0.987119 0.000000
0.612613 0.987200 0.000000
0.613514 0.987280 0.000000
0.614414 0.987358 0.000000
0.615315 0.987434 0.000000
0.616216 0.987510 0.000000
0.617117 0.987584 0.000000
0.618018 0.987653 0.000000
0.618919 0.987712 0.000000
0.619820 0.987770 0.000000
0.620721 0.987827 0.000000
0.621622 0.987883 0.000000
0.622523 0.987938 0.000000
0.623423 0.987992 0.000000
0.624324 0.988045 0.000000
0.625225 0.988097 0.000000
0.626126 0.988148 0.000000
0.627027 0.988198 0.000000
0.627928 0.988245 0.000000
0.628829 0.988292 0.000000
0.629730 0.988338 0.000000
0.630631 0.988383 0.000000
0.631532 0.988427 0.000000
0.632432 0.988471 0.000000
0.633333 0.988514 0.000000
0.634234 0.988556 0.000000
0.635135 0.988598 0.000000
0.636036 0.988639 0.000000
0.636937 0.988680 0.000000
0.637838 0.988720 0.000000
0.638739 0.988759 0.000000
0.639640 0.988798 0.000000
0.640541 0.988837 0.000000
0.641441 0.988875 0.000000
0.642342 0.988912 0.000000
0.643243 0.988950 0.000000
0.644144 0.988986 0.000000
0.645045 0.989022 0.000000
0.645946 0.989060 0.000000
0.646847 0.989098 0.000000
0.647748 0.989135 0.000000
0.648649 0.989171 0.000000
0.649550 0.989207 0.000000
0.650450 0.989243 0.000000
0.651351 0.989278 0.000000
0.652252 0.989313 0.000000
0.653153 0.989347 0.000000
0.654054 0.989381 0.000000
0.654955 0.989421 0.000000
0.655856 0.989461 0.000000
0.656757 0.989500 0.000000
0.657658 0.989539 0.000000
0.658559 0.989578 0.000000
0.659459 0.989616 0.000000
0.660360 0.989653 0.000000
0.661261 0.989690 0.000000
0.662162 0.989727 0.000000
0.663063 0.989763 0.000000
0.663964 0.989799 0.000000
0.664865 0.989835 0.000000
0.665766 0.989870 0.000000
0.666667 0.989905 0.000000
0.667568 0.989940 0.000000
0.668468 0.989974 0.000000
0.669369 0.990007 0.000000
0.670270 0.990041 0.000000
0.671171 0.990074 0.000000
0.672072 0.990107 0.000000
0.672973 0.990140 0.000000
0.673874 0.990172 0.000000
0.674775 0.990204 0.000000
0.675676 0.990235 0.000000
0.676577 0.990267 0.000000
0.677477 0.990298 0.000000
